state_code,estimate,pop,issue_id,state_name
06,0.2942,4910495,dmark_return,Hessen
07,0.3295,3149298,dmark_return,Rheinland-Pfalz
08,0.3047,8784086,dmark_return,Baden-Württemberg
09,0.3227,10136201,dmark_return,Bayern
10,0.3312,809696,dmark_return,Saarland
11,0.3117,2877040,dmark_return,Berlin
12,0.2918,1973635,dmark_return,Brandenburg
13,0.328,1265934,dmark_return,Mecklenburg-Vorpommern
14,0.2939,3118235,dmark_return,Sachsen
15,0.3343,1708066,dmark_return,Sachsen-Anhalt
16,0.3131,1614194,dmark_return,Thüringen
01,0.497,2313578,internet_control,Schleswig-Holstein
02,0.4226,1431449,internet_control,Hamburg
03,0.5065,6204994,internet_control,Niedersachsen
04,0.4603,550759,internet_control,Bremen
05,0.4897,14256301,internet_control,Nordrhein-Westfalen
06,0.495,4910495,internet_control,Hessen
07,0.5078,3149298,internet_control,Rheinland-Pfalz
08,0.4913,8784086,internet_control,Baden-Württemberg
09,0.5088,10136201,internet_control,Bayern
10,0.4994,809696,internet_control,Saarland
11,0.4647,2877040,internet_control,Berlin
12,0.5115,1973635,internet_control,Brandenburg
13,0.5193,1265934,internet_control,Mecklenburg-Vorpommern
14,0.5003,3118235,internet_control,Sachsen
15,0.5193,1708066,internet_control,Sachsen-Anhalt
16,0.5094,1614194,internet_control,Thüringen
01,0.5599,2313578,workfare,Schleswig-Holstein
02,0.5047,1431449,workfare,Hamburg
03,0.5655,6204994,workfare,Niedersachsen
04,0.5068,550759,workfare,Bremen
05,0.5655,14256301,workfare,Nordrhein-Westfalen
06,0.5675,4910495,workfare,Hessen
07,0.5995,3149298,workfare,Rheinland-Pfalz
08,0.5701,8784086,workfare,Baden-Württemberg
09,0.6075,10136201,workfare,Bayern
10,0.5783,809696,workfare,Saarland
11,0.5279,2877040,workfare,Berlin
12,0.6176,1973635,workfare,Brandenburg
13,0.5839,1265934,workfare,Mecklenburg-Vorpommern
14,0.6245,3118235,workfare,Sachsen
