id,year,treat_no_well_perform_2014,own_econ_bad,own_econ_retrospect_worse,own_econ_gov_responsible_not,own_econ_prospect_worse,gen_econ_bad,gen_econ_retrospect_worse,gen_econ_gov_responsible_not,gen_econ_prospect_worse,cdu_performance_satisfied,csu_performance_satisfied,spd_performance_satisfied
50117,2022,1,2,4,2,2,4,5,1,4,-94,-94,7
51236,2023,,3,3,3,3,3,3,3,3,-94,-94,6
1161,2009,,2,3,2,3,3,5,-94,2,3,3,-94
2292,2010,,3,3,3,3,4,5,-94,3,8,7,-94
3428,2010,1,2,4,4,1,4,5,3,4,5,5,-94
4566,2010,,4,5,1,4,4,3,2,-99,3,3,-94
5713,2010,1,5,4,1,3,4,4,1,4,3,3,-94
6855,2011,,3,4,1,4,3,2,3,2,4,4,-94
7995,2011,,4,4,2,2,3,4,2,4,3,3,-94
9138,2011,,2,2,3,2,2,2,2,2,10,9,-94
10297,2011,,2,2,2,3,2,1,2,3,7,9,-94
11409,2012,,3,4,2,3,3,4,2,3,4,3,-94
13500,2013,,3,4,2,2,2,2,2,3,6,5,-94
14533,2013,,3,4,3,3,3,2,2,4,10,7,-94
15582,2013,,2,3,4,3,2,2,3,2,8,6,-94
17641,2014,,3,4,2,4,3,4,2,4,-99,-99,6
18665,2014,,2,1,4,3,2,1,3,2,9,8,3
19712,2014,,3,4,2,4,4,4,2,4,2,2,3
20722,2014,,3,4,1,4,5,5,2,4,9,7,7
21742,2015,,2,2,5,2,2,2,4,2,9,9,9
22771,2015,,2,4,4,4,3,4,3,4,4,2,8
23790,2015,,2,3,2,3,2,2,3,3,10,9,9
24817,2015,,2,1,3,2,2,2,2,3,10,9,9
25848,2016,,2,3,2,3,2,3,2,3,11,8,10
26863,2016,,2,2,5,1,4,4,2,5,1,1,1
27886,2016,1,4,5,1,5,4,4,1,5,2,6,1
28909,2016,,2,2,3,2,3,4,3,3,9,9,10
29931,2017,,2,4,2,4,2,2,2,2,7,3,9
30939,2017,,1,3,2,2,1,2,2,2,11,6,8
32023,2017,,2,3,4,3,2,4,1,4,11,11,1
33108,2017,0,2,2,2,3,2,2,2,2,11,11,11
34124,2018,,3,3,3,3,3,3,3,3,4,5,6
35230,2018,1,3,4,2,3,4,4,2,3,4,4,5
36332,2018,,2,3,2,2,2,4,2,4,1,1,8
37438,2019,,3,3,4,3,2,3,2,4,-99,-99,-99
38538,2019,,3,4,3,3,3,4,2,3,6,6,6
39639,2019,,4,3,1,3,4,3,1,3,1,1,1
40716,2020,,4,4,4,4,3,3,2,3,5,2,2
41809,2020,,4,4,4,2,2,2,2,2,9,4,7
42902,2020,,1,1,1,2,2,1,2,1,7,6,7
43980,2021,,3,3,3,3,3,3,3,3,8,8,9
45099,2021,,3,3,4,3,3,4,3,4,2,2,2
46194,2021,,4,5,2,4,4,4,2,3,4,11,5
47882,2022,,2,3,5,2,4,3,2,4,-94,-94,1
48994,2022,0,3,4,2,4,4,4,2,4,-94,-94,3
50118,2022,1,1,2,2,2,1,2,2,4,-94,-94,7
51237,2023,,2,3,4,3,3,3,2,2,-94,-94,6
1162,2009,,3,3,2,3,3,3,-94,2,10,9,-94
2293,2010,,3,3,4,4,4,3,-94,3,1,2,-94
3429,2010,1,1,4,3,3,3,3,3,3,3,3,-94
4567,2010,,3,2,3,2,3,4,2,2,4,4,-94
5714,2010,1,2,3,2,4,2,3,2,3,5,3,-94
6856,2011,1,4,4,1,2,4,4,1,3,1,1,-94
7996,2011,,2,3,5,2,2,2,3,2,5,5,-94
9139,2011,,3,3,4,4,3,4,3,4,4,3,-94
10298,2011,1,3,5,4,4,3,4,2,-99,3,1,-94
11410,2012,,2,3,2,3,2,2,3,3,6,5,-94
12426,2012,,4,5,1,5,4,5,1,5,1,2,-94
13501,2013,,3,4,1,5,4,4,1,5,2,2,-94
14534,2013,0,4,4,2,3,4,4,2,4,1,1,-94
15583,2013,,3,2,4,2,3,2,2,2,5,-99,-94
16594,2013,,4,3,5,3,2,2,3,3,11,8,-94
17642,2014,,4,5,3,3,2,2,4,2,3,1,6
18666,2014,,2,3,2,3,2,2,2,3,3,2,4
20723,2014,,4,5,2,4,4,4,2,4,1,1,1
21743,2015,1,2,1,5,3,2,2,3,2,8,7,8
22772,2015,,3,2,5,2,3,3,2,3,3,3,3
23791,2015,,2,3,5,3,3,4,2,3,7,7,7
24818,2015,,2,3,3,3,2,2,1,2,10,8,9
25849,2016,,3,4,2,3,2,3,4,4,1,6,1
26864,2016,,2,4,3,2,2,3,3,4,8,10,-99
27887,2016,,2,2,5,2,2,3,3,3,9,9,6
28910,2016,,2,2,5,2,2,4,3,4,8,4,8
29932,2017,1,1,3,5,3,2,3,3,3,7,8,5
30940,2017,,3,3,3,3,2,1,3,2,5,2,8
32024,2017,,2,4,2,3,2,2,4,4,4,2,6
33109,2017,,1,4,3,5,1,2,2,4,9,8,7
34125,2018,,3,4,1,3,1,1,4,3,3,1,9
